#(V05.02.04C) EGD Point List Report for PTT_1609256_59_T1,,,,,,,,,,,,,,,,,,
Entry No,Variable,Point Name,Point Offset,Direction,Data Type,CIMPLICITY Resource,Units,Producer ID,Period(ms),Exchange Name,Destination,Description,Alias,Second Language Description,Path,Format Specification,,
1333,LSC_CSP,EGD.ProducedPages._Status.Exchange1.Point_416,01.0100.0,ReadWrite,REAL,,,1701122220,250,Exchange1,172.16.111.255,Alternate Control Loop Setpoint,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:LSC_CSP,,,
1334,ForcesSeqNum_R,EGD.ProducedPages._Status.Exchange1.Point_464,01.0292.0,ReadOnly,UDINT,,,1701122220,250,Exchange1,172.16.111.255,The R controller's forces sequence number.,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:ForcesSeqNum_R,,,
1335,IdleTime_R,EGD.ProducedPages._Status.Exchange1.Point_425,01.0136.0,ReadOnly,REAL,,,1701122220,250,Exchange1,172.16.111.255,The R controller's idle time in percent.,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:IdleTime_R,,,
1337,MCTRL_LSP2,EGD.ProducedPages._Status.Exchange1.Point_450,01.0236.0,ReadOnly,REAL,,,1701122220,250,Exchange1,172.16.111.255,Master Limit 2 Setpoint,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:MCTRL_LSP2,,,
1339,ASC_POS1,EGD.ProducedPages._Status.Exchange1.Point_439,01.0192.0,ReadWrite,REAL,,%,1701122220,250,Exchange1,172.16.111.255,AS Valve Position Feedback Train 1 (ZT-001/A),,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:ASC_POS1,,,
1340,ASC_DEC,EGD.ProducedPages._Status.Exchange1.Point_423,01.0128.0,ReadWrite,REAL,,,1701122220,250,Exchange1,172.16.111.255,Deviation,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:ASC_DEC,,,
1361,DDRS.DDR3.Status,EGD.ProducedPages._Status.Exchange1.Point_405,01.0070.0,ReadOnly,UINT,,,1701122220,250,Exchange1,172.16.111.255,,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:DDRS.DDR3.Status,,,
1375,MCTRL_LSP1_C,EGD.ProducedPages._Status.Exchange1.Point_436,01.0180.0,ReadOnly,REAL,,,1701122220,250,Exchange1,172.16.111.255,Master Controller Limit 1 Setpoint Command,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:MCTRL_LSP1_C,,,
1399,DDRS.DDR6.Status,EGD.ProducedPages._Status.Exchange1.Point_404,01.0068.0,ReadOnly,UINT,,,1701122220,250,Exchange1,172.16.111.255,,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:DDRS.DDR6.Status,,,
1423,ASC_SPPVLSP,EGD.ProducedPages._Status.Exchange1.Point_441,01.0200.0,ReadWrite,REAL,,psig,1701122220,250,Exchange1,172.16.111.255,Suction Pressure Low Limit Setpoint,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:ASC_SPPVLSP,,,
1424,DDRS.DDR9.Status,EGD.ProducedPages._Status.Exchange1.Point_401,01.0062.0,ReadOnly,UINT,,,1701122220,250,Exchange1,172.16.111.255,,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:DDRS.DDR9.Status,,,
1427,MCTRL_LSP2_C,EGD.ProducedPages._Status.Exchange1.Point_462,01.0284.0,ReadOnly,REAL,,,1701122220,250,Exchange1,172.16.111.255,Master Controller Limit 2 Setpoint Command,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:MCTRL_LSP2_C,,,
1429,DesignatedController_R,EGD.ProducedPages._Status.Exchange1.Point_407,01.0074.0,ReadOnly,UINT,,,1701122220,250,Exchange1,172.16.111.255,The designated controller as known to R.,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:DesignatedController_R,,,
1431,HardwareAlarmReason_S,EGD.ProducedPages._Status.Exchange1.Point_424,01.0132.0,ReadOnly,UDINT,,,1701122220,250,Exchange1,172.16.111.255,The reason for the hardware failure alarm,,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:HardwareAlarmReason_S,,,
1436,ASC_STT1,EGD.ProducedPages._Status.Exchange1.Point_434,01.0172.0,ReadWrite,REAL,,?,1701122220,250,Exchange1,172.16.111.255,Suction Temperature Transmitter Train 1 (TT-003/A),,,System:PTT_1609256_59|Device:T1|EGD:|EgdPageList:ProducedPages|EgdPage:_Status|EgdExchange:Exchange1|EgdVariable:ASC_STT1,,,
